ENGLISH NAME,EASTING,NORTHING,STUDENTS GENDER,DISTRICT
TSUEN WAN PUB HO CHUEN YIU MEMORIAL COLL,831032,826295,CO-ED,TSUEN WAN
ELEGANTIA COLLEGE (SPONSORED BY ED CONV),830837,839232,CO-ED,NORTH
KWAI CHUNG METHODIST COLLEGE,831505,823680,CO-ED,KWAI TSING
YCH WONG WHA SAN SECONDARY SCHOOL,844830,818936,CO-ED,SAI KUNG
METHODIST CHURCH HK WESLEY COLLEGE,843966.6,813919.4,CO-ED,EASTERN
BUDDHIST HO NAM KAM COLLEGE,842694,817945,CO-ED,KWUN TONG
CARITAS TUEN MUN MARDEN FDN SEC SCH,814653,829137,CO-ED,TUEN MUN
NG YUK SECONDARY SCHOOL,836728,825909,CO-ED,SHA TIN
PLK TANG YUK TIEN COLLEGE,814425,826457,CO-ED,TUEN MUN
CCC KEI LONG COLLEGE,821593,833544,CO-ED,YUEN LONG
HO NGAI COLL (SPONSORED BY SIK SIK YUEN),815423,827825,CO-ED,TUEN MUN
YOT CHAN WONG SUK FONG MEM SEC SCH,814645,829232,CO-ED,TUEN MUN
STFA CHENG YU TUNG SECONDARY SCHOOL,844748,820129,CO-ED,SAI KUNG
TRUE LIGHT MIDDLE SCHOOL OF HONG KONG,838046,815221,GIRLS,WAN CHAI
YCH TUNG CHI YING MEM SEC SCHOOL,842210,831615,CO-ED,SHA TIN
SHEK LEI CATHOLIC SECONDARY SCHOOL,832554,825847,CO-ED,KWAI TSING
MADAM LAU KAM LUNG SEC SCH OF MFBM,816473,831229,GIRLS,TUEN MUN
CHEUNG SHA WAN CATHOLIC SECONDARY SCHOOL,833902,822167,BOYS,SHAM SHUI PO
TWGHS MR & MRS KWONG SIK KWAN COLLEGE,815180,829931,CO-ED,TUEN MUN
LEUNG SHEK CHEE COLLEGE,842056,819511,GIRLS,KWUN TONG
HHCKLA BUDDHIST CHING KOK SEC SCH,843747,818680,CO-ED,SAI KUNG
ST FRANCIS XAVIER'S COLLEGE,834868,820712,BOYS,YAU TSIM MONG
ST FRANCIS' CANOSSIAN COLLEGE,835451,815169,GIRLS,WAN CHAI
SKH LAM WOO MEMORIAL SECONDARY SCHOOL,831484,825106,CO-ED,KWAI TSING
BUDDHIST KOK KWONG SECONDARY SCHOOL,838016,826738,CO-ED,SHA TIN
SHUNG TAK CATHOLIC ENGLISH COLLEGE,817946,832717,CO-ED,YUEN LONG
PO CHIU CATHOLIC SECONDARY SCHOOL,842570,817695,CO-ED,KWUN TONG
PLK MRS MA KAM MING CHEUNG FOOK SIEN COL,812276,816543,CO-ED,ISLANDS
YU CHUN KEUNG MEMORIAL COLLEGE NO.2,832242,813097,CO-ED,SOUTHERN
HK & KLN CHIU CHOW PUB ASSN SEC SCHOOL,835718.5,820312.5,CO-ED,YAU TSIM MONG
STFA YUNG YAU COLLEGE,818037,836823,CO-ED,YUEN LONG
PHC WING KWONG COLLEGE,837544,822536,CO-ED,WONG TAI SIN
SAN WUI COMMERCIAL SOCIETY SEC SCH,814229,829855,CO-ED,TUEN MUN
CANOSSA COLLEGE,839767,816741,GIRLS,EASTERN
PLK CELINE HO YAM TONG COLLEGE,839053,822868,CO-ED,WONG TAI SIN
TWGH LUI YUN CHOY MEMORIAL COLLEGE,844362,820606,CO-ED,SAI KUNG
KIANGSU-CHEKIANG COLLEGE (SHATIN),838058,827709,CO-ED,SHA TIN
BUDDHIST MAU FUNG MEMORIAL COLLEGE,818873,835147,CO-ED,YUEN LONG
TWGH MRS FUNG WONG FUNG TING COLLEGE,837913,827271,CO-ED,SHA TIN
TWGH CY MA MEMORIAL COLLEGE,822739,833776,CO-ED,YUEN LONG
PUI TAK CANOSSIAN COLLEGE,834097,812400,GIRLS,SOUTHERN
CHRISTIAN ALLIANCE S C CHAN MEM COLL,815205,827546,CO-ED,TUEN MUN
SKH TSANG SHIU TIM SECONDARY SCHOOL,838134,827501,CO-ED,SHA TIN
KO LUI SECONDARY SCHOOL,841297,820314,CO-ED,KWUN TONG
COGNITIO COLLEGE (HONG KONG),842103,813682,CO-ED,EASTERN
OUR LADY OF THE ROSARY COLLEGE,835838,821545,GIRLS,SHAM SHUI PO
TWGH CHEN ZAO MEN COLLEGE,831324,825029,CO-ED,KWAI TSING
TWGH KAP YAN DIRECTORS' COLLEGE,831404,839950,CO-ED,NORTH
HHCKLA BUDDHIST MA KAM CHAN MEM ENG SE S,832614,839834,CO-ED,NORTH
LOK SIN TONG KU CHIU MAN SEC SCH,830798,824612,CO-ED,KWAI TSING
PLK C W CHU COLLEGE,836431,825406,CO-ED,SHA TIN
YUEN LONG CATHOLIC SECONDARY SCHOOL,820213.1,833948.9,CO-ED,YUEN LONG
TUNG CHUNG CATHOLIC SCHOOL,811402,816029,CO-ED,ISLANDS
CARITAS WU CHENG-CHUNG SECONDARY SCHOOL,831407,814317,CO-ED,SOUTHERN
MARYKNOLL FATHERS' SCHOOL,835909,821653,CO-ED,SHAM SHUI PO
CHINESE YMCA COLLEGE,841408,830998,CO-ED,SHA TIN
BUDDHIST WONG WAN TIN COLLEGE,836388,826546,CO-ED,SHA TIN
FORTRESS HILL METHODIST SECONDARY SCHOOL,838192,816640,CO-ED,EASTERN
ST MARY'S CANOSSIAN COLLEGE,836213,818217.3,GIRLS,YAU TSIM MONG
ST JOSEPH'S COLLEGE,834405,815286,BOYS,CENTRAL AND WESTERN
CONCORDIA LUTHERAN SCHOOL,835778,821293,CO-ED,SHAM SHUI PO
PLK 1984 COLLEGE,845459,820115,CO-ED,SAI KUNG
HK TEACHERS' ASSN LEE HENG KWEI SEC SCH,835515,833679,CO-ED,TAI PO
TSUNG TSIN COLLEGE,814767,829349,CO-ED,TUEN MUN
CARMEL HOLY WORD SECONDARY SCHOOL,834566,834822,CO-ED,TAI PO
TIN SHUI WAI METHODIST COLLEGE,818046,836087,CO-ED,YUEN LONG
PLK NO.1 WH CHEUNG COLLEGE,839234,823025,CO-ED,WONG TAI SIN
BUDDHIST SIN TAK COLLEGE,831426,824789,CO-ED,KWAI TSING
